x,y,z
-0.5767365,0.8829346,0.1611176
0.09480286,1.184875,0.4582367
0.5357971,1.431381,-0.1367035
0.5231323,1.216583,-0.03540039
-0.1991272,1.357498,0.5242462
0.001708984,1.381119,-0.289978
-0.3378448,1.780533,-0.517395
-0.7150421,1.188339,0.1602173
0.6701813,0.7550354,-0.4664917
0.1978607,0.6739807,-0.4720612
-0.2970123,0.2890472,-0.5203552
-0.085495,0.3562622,-0.2013092
-0.5411072,0.7763824,0.6957245
-0.4728241,2.295349,1.743744
-0.628067,0.414856,0.4885254
-0.4438629,0.8045959,-1.167419
-0.1225433,1.147095,-0.2512512
0.1210632,1.03508,-0.3607788
0.7108307,1.255417,-0.5217896
0.3834686,0.6717987,-0.2368164
-0.1682587,0.9299774,0.2619476
-0.2037506,0.8593597,0.2565155
-0.03128052,0.893631,-0.08157349
0.1782684,1.192307,-0.07139587
0.4339752,1.441742,0.001663208
-0.1543121,1.107895,0.3635559
-0.006652832,1.421509,0.5461426
0.2546082,1.467834,-0.3339233
-0.3470001,1.690735,-0.5408783
-0.6917572,1.117599,0.1657562
0.6800537,0.8924103,-0.3218842
0.2560272,0.5101471,-0.5183258
-0.03527832,0.3287048,-0.5964203
-0.5322113,0.2896729,-0.03567505
-0.8504181,1.601517,1.042831
-0.3178406,0.8743591,0.6400146
-0.7926331,0.9354095,0.600708
-0.5315247,1.473679,-0.5279999
-0.07502747,0.64151,-0.7022858
0.1776123,1.210709,-0.4655609
0.7922668,1.091629,-0.49086
-0.1583557,0.7413025,-0.04376221
0.04264832,0.8571777,0.1094208
-0.4039307,0.9289703,0.1561584
0.01338196,1.022232,-0.04353333
0.2303314,1.322922,0.003677368
0.4121857,1.337006,-0.126358
-0.07511902,1.415573,0.2100677
-0.01872253,1.323914,0.5874939
0.02346802,1.245041,-0.5479584
-0.6145935,1.811844,-0.3342896
-0.2007904,0.9188995,0.008758545
1.060974,0.9131927,-0.1358185
-0.1391907,0.4788055,-0.5418549
-0.06416321,0.4091797,-0.3972473
-0.3491211,0.3509674,-0.01846313
-0.7005005,1.482788,1.584976
-0.1440582,0.986145,0.6600342
-0.6135406,0.5539551,0.5484619
-0.6193542,1.115585,-0.4886169
0.036026,0.685318,-0.7313843
0.1384888,0.8809204,-0.5869141
0.6636658,1.240005,-0.4076843
0.07804871,0.7615051,-0.1398773
-0.1144104,0.8998718,0.2210083
-0.1560822,0.9340668,0.2090759
-0.01913452,0.9676819,0.1004333
0.07650757,1.036209,-0.1151428
0.1849365,1.330444,-0.005355835
-0.04934692,1.104721,0.004104614
0.0574646,1.371994,0.5103302
0.1921844,1.349274,0.1461792
-0.1667786,1.305557,-0.5338593
-0.8932953,1.510284,0.09086609
0.2515411,0.7815399,-0.3674774
1.083908,0.932251,-0.1139069
-0.2546082,0.4974365,-0.4994965
-0.02662659,0.4431152,-0.3441162
-0.2763977,0.4743347,0.2653351
-0.9833984,1.922607,1.53508
-0.2366333,0.6635742,0.3424835
-0.7073517,1.061966,0.6020813
-0.4959564,1.758316,-0.3746338
-0.05593872,0.5227966,-0.6812592
-0.07931519,0.9826355,-0.6132202
0.6077728,1.300293,-0.521759
-0.01222229,0.90242,0.3344421
0.1063538,0.7941895,0.08384705
-0.1513519,0.724411,-0.03515625
-0.1653442,1.013763,0.2013092
0.2591248,1.403809,0.005752563
0.5061188,1.356171,-0.03553772
0.07196045,1.511292,0.3962708
-0.005355835,1.402771,0.3645172
-0.1958771,1.372589,-0.5789795
-0.7942505,1.732819,-0.01873779
-0.1117249,0.8543243,-0.1055756
0.9948273,0.8148041,-0.2253723
-0.2048645,0.3861847,-0.6003876
-0.08807373,0.3200226,-0.3711243
-0.3318329,0.5539703,0.07780457
-0.5009155,1.171036,1.000717
-0.3435669,1.260864,1.216232
-0.6182556,0.4276733,0.3584595
-0.6467133,1.818298,-0.5753174
0.02558899,0.708374,-0.93367
0.382309,1.408737,-0.5173798
0.7332458,1.135254,-0.5754089
-0.3820343,0.9272308,-0.1116333
-0.1084442,0.8417816,0.2934875
-0.09481812,0.8577423,0.1105194
-0.09294128,0.9476318,-0.1693115
0.08413696,1.169754,0.01179504
0.3541107,1.098877,0.243576
0.01837158,1.23703,0.1994934
-0.1133118,1.483292,0.3554382
-0.3096924,1.138107,-0.7072144
-0.7724609,1.973831,-0.3182373
-0.4584198,0.9256439,0.1113281
-0.1313477,0.8982544,-0.2287903
0.3278351,0.758667,-0.4214935
-0.3382416,0.4281158,-0.1028442
0.005706787,0.8276978,0.1273651
0.2205353,1.10199,0.9324493
-0.1440735,0.8058777,-0.03271484
-0.6316376,1.721634,-0.2099152
-0.4528809,0.7342529,0.2338867
-0.2332611,0.9153748,-0.1939697
0.1068268,0.9983521,-0.1518402
0.01869202,1.107056,0.2037201
-0.187973,1.066269,0.07463074
-0.177948,1.057312,-0.122406
0.001907349,0.8760223,-0.0433197
-0.1719971,1.011505,-0.07949829
-0.1398163,0.9685974,-0.02145386
-0.1055908,0.9885101,0.05357361
0.09031677,1.106873,0.1908112
-0.1493988,1.04274,-0.1280212
-0.2082825,1.049271,-0.05844116
-0.1600342,0.9518433,0.04547119
-0.1441498,0.9022369,-0.02310181
-0.128952,0.8956757,-0.02905273
-0.1206818,1.270584,-0.06394958
0.00302124,0.989151,-0.04428101
-0.005065918,1.024078,-0.05192566
-0.09675598,0.8874359,-0.1611938
-0.2070923,0.8926239,-0.1295013
-0.1877441,1.034241,-0.02999878
-0.007263184,0.712738,-0.06997681
0.000320435,0.9249115,0.1406708
-0.1226044,1.116058,0.4615936
-0.02983093,0.8509979,-0.1030426
-0.1391296,0.9264374,0.207077
0.1750641,1.132614,0.0868988
-0.000534058,1.092056,-0.06806946
-0.1987457,0.728653,0.494751
-0.1669464,0.9840851,-0.203476
-0.01344299,0.9035645,0.1170197
0.0249176,1.019852,-0.2419891
0.000335693,0.966156,0.06472778
-0.001922607,0.944397,0.03129578
0.2592621,1.08902,-0.1066742
0.3088531,0.9313812,0.01039124
0.1848755,1.046982,-0.007476807
0.2610168,0.9187622,0.01020813
0.1952972,0.9933014,0.005126953
0.1807404,1.003586,-0.2555695
0.2101135,0.9276733,0.0423584
0.3183746,0.9240417,-0.0146637
0.2949524,0.9531555,-0.0557251
0.2879486,0.9421234,-0.05136108
0.2745056,0.9651642,-0.04855347
0.2835083,0.9727631,-0.02549744
0.2587738,0.9699097,-0.06044006
0.2638245,0.9638824,-0.04971313
0.2589722,0.9691925,-0.05580139
0.2921143,0.9636078,-0.03620911
0.2705078,0.9669342,-0.04544067
0.281311,0.9602203,-0.04219055
0.2627716,0.9681091,-0.04658508
0.2759857,0.967804,-0.02796936
0.2636871,0.9629974,-0.04426575
0.2600555,0.9673004,-0.04521179
0.2689514,0.9671326,-0.036026
0.2723541,0.9660339,-0.03555298
0.2754059,0.9654236,-0.04104614
0.2825012,0.9644165,-0.03924561
0.2809296,0.9614716,-0.0383606
0.2878723,0.9546967,-0.027771
0.2942505,0.9631348,-0.03471375
0.2905579,0.9627228,-0.0340271
0.2754059,0.9604034,-0.03546143
0.2778931,0.9645386,-0.03753662
0.2771149,0.9595642,-0.02767944
0.2805176,0.956604,-0.03244019
0.2894745,0.9679871,-0.03509521
0.2957458,0.9606323,-0.03364563
0.2828064,0.9642181,-0.0402832
0.2875519,0.9622192,-0.03639221
0.2749786,0.9646759,-0.04478455
0.2723694,0.9569244,-0.03105164
0.2769318,0.963623,-0.04177856
0.2754822,0.96698,-0.04450989
0.2958527,0.9552765,-0.03955078
0.2770386,0.9586334,-0.02990723
0.2802277,0.9597778,-0.03335571
0.2736664,0.9620819,-0.02864075
0.2810822,0.9664307,-0.03463745
0.2766113,0.9681091,-0.04290771
0.2751465,0.9676971,-0.03749084
0.2845154,0.9595795,-0.02761841
0.2838135,0.958786,-0.01950073
0.2930298,0.9561462,-0.0201416
0.2980804,0.9591064,-0.01712036
0.2954254,0.9596863,-0.02493286
0.2914734,0.9558716,-0.01635742
0.2902222,0.9581299,-0.02314758
0.2918854,0.9600067,-0.0209198
0.2838593,0.9621887,-0.01049805
0.2980652,0.9524689,-0.01364136
0.2926636,0.9631805,-0.03125
0.2770844,0.9621277,-0.01066589
0.2861176,0.9589539,-0.0287323
0.2814331,0.9616089,-0.02578735
0.2796021,0.9631042,-0.00944519
0.2779999,0.9624176,-0.01725769
0.284729,0.9621735,-0.01774597
0.2856445,0.9624481,-0.01914978
0.2796783,0.9593048,-0.01673889
0.2858124,0.9627838,-0.01589966
0.2908783,0.960556,-0.0111084
